epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,Accuracy,F1_score,Precision,Recall
1,-0.005982601427395595,-0.06574529829568221,0.034394031754770016,0.9931680428222028,0.32189133997989805,0.07133589320642164,0.04318222192772858,0.059442169705582915,1.0838949128842792,0.2590928641770555,0.02568606980407495,0.038877600663938416,0.029878000640778613,1.0295239565188632,0.12388341154221377,0.3029216467463479,0.3771950640721405,0.24163879598662208,0.8591891891891892
2,0.02970941763410173,0.01158551249779545,0.0188658977179049,1.2214475079113296,0.0765528211919492,0.11070935248990262,0.14182895391485797,0.12300179266683078,2.0203158943824175,0.016322561219698772,0.1126368173886739,0.11095569928168732,0.11057438930277888,1.8732214713276152,0.02724848595163623,0.6695883134130146,0.15345355563116708,0.20707070707070707,0.1218918918918919
3,-0.0004018834367570199,-0.0018662519440124418,0.0012163804902774699,0.8491855118292984,0.0037025609379821045,0.004713652519845108,0.006544993833722427,0.005456215626201646,5.782943211886831,0.012406580627322777,0.010959409457968887,0.008145408236270498,0.009809089621818947,11.934118513065881,0.015032099796440311,0.752589641434263,0.003210272873194221,0.15789473684210525,0.0016216216216216215
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
